,Risk_Category,Loan_Amount,Credit_Score,Loan_Purpose,Annual_Income,Employment_Length,Debt-to-Income_Ratio,Number_of_Open_Accounts,Number_of_Past_Due_Payments
1053,high-risk,16269.0,614.0,home improvement,53538.23,2,0.5,4,2
1054,low-risk,19549.0,745.0,home improvement,52318.09,5,0.4,4,1
1055,low-risk,18011.0,700.0,business,57305.6,3,0.4,3,1
1056,low-risk,20624.0,714.0,car,54448.19,10,0.35,5,1
1057,low-risk,20398.0,683.0,car,56358.11,3,0.4,3,1
1058,low-risk,15190.0,683.0,home improvement,51552.16,5,0.3,4,1
1059,high-risk,14044.0,555.0,home improvement,65246.33,10,0.45,3,1
1060,low-risk,20888.0,713.0,debt consolidation,53798.02,5,0.35,2,1
1061,low-risk,20406.0,718.0,car,47464.95,2,0.35,3,0
1062,low-risk,18723.0,711.0,home improvement,60378.58,3,0.35,2,1
1063,low-risk,15029.0,660.0,home improvement,47538.2,10,0.3,5,1
1064,low-risk,21414.0,676.0,business,50867.58,8,0.4,4,0
1065,low-risk,23816.0,725.0,car,55506.9,3,0.3,5,1
1066,high-risk,17875.0,562.0,debt consolidation,52237.83,8,0.45,3,2
1067,low-risk,17458.0,709.0,home improvement,53660.91,2,0.35,3,1
1068,low-risk,20134.0,697.0,business,53160.42,5,0.35,2,0
1069,low-risk,15902.0,725.0,business,53306.07,2,0.35,2,0
1070,low-risk,23174.0,712.0,medical expenses,45881.53,8,0.35,3,0
1071,high-risk,16004.0,708.0,car,58759.71,10,0.5,3,2
1072,high-risk,14371.0,559.0,business,56122.51,2,0.45,3,1
1073,low-risk,19098.0,684.0,debt consolidation,55820.99,5,0.4,2,0
1074,low-risk,21390.0,717.0,car,53972.96,10,0.35,4,1
1075,low-risk,19001.0,631.0,debt consolidation,52168.26,10,0.3,3,1
1076,low-risk,19172.0,705.0,business,57008.33,5,0.35,3,1
1077,low-risk,16327.0,674.0,car,60972.85,10,0.4,3,1
1078,low-risk,21700.0,706.0,business,58040.74,3,0.4,5,0
1079,low-risk,18055.0,710.0,business,64305.15,10,0.3,3,1
1080,low-risk,13531.0,650.0,business,53120.19,8,0.4,5,0
1081,high-risk,11812.0,611.0,home improvement,53760.41,3,0.5,5,2
1082,low-risk,22943.0,705.0,home improvement,61114.42,2,0.35,4,1
1083,low-risk,18839.0,703.0,debt consolidation,50999.87,10,0.35,5,1
1084,high-risk,9184.0,653.0,home improvement,56653.87,5,0.45,5,2
1085,low-risk,21287.0,663.0,debt consolidation,59175.32,3,0.4,5,1
1086,low-risk,21016.0,668.0,home improvement,61691.74,10,0.35,3,1
1087,low-risk,19615.0,659.0,business,50838.35,8,0.35,3,0
1088,low-risk,19795.0,717.0,home improvement,55034.85,10,0.35,3,1
1089,high-risk,20840.0,570.0,medical expenses,55021.95,10,0.45,2,2
1090,high-risk,14852.0,633.0,business,45396.83,3,0.45,4,1
1091,low-risk,21593.0,649.0,medical expenses,51170.54,8,0.4,3,1
1092,low-risk,17193.0,699.0,business,57304.87,10,0.4,3,-24.0
1093,low-risk,16772.0,719.0,home improvement,62104.49,3,0.4,3,1
1094,low-risk,16630.0,645.0,car,55390.39,5,0.4,4,1
1095,low-risk,26137.0,684.0,debt consolidation,50438.72,10,0.35,3,0
1096,high-risk,18951.0,670.0,business,51538.81,2,0.5,3,1
1097,low-risk,20913.0,687.0,car,46992.95,5,0.3,5,1
1098,high-risk,15144.0,653.0,car,61585.82,10,0.45,3,1
1099,low-risk,21870.0,711.0,home improvement,60721.35,5,0.35,3,1
1100,low-risk,19650.0,705.0,business,48391.04,2,0.3,2,0
1101,low-risk,20643.0,739.0,car,62535.58,5,0.4,2,1
1102,high-risk,16659.0,695.0,debt consolidation,59023.3,10,0.5,5,1
1103,high-risk,13070.0,589.0,medical expenses,54979.15,2,0.5,3,2
1104,high-risk,12702.0,545.0,home improvement,49156.08,8,0.5,5,2
1105,low-risk,17703.0,667.0,home improvement,52555.72,3,0.35,5,0
1106,low-risk,-195872.0,725.0,home improvement,56803.21,3,0.4,5,0
1107,high-risk,10229.0,599.0,debt consolidation,50593.34,10,0.5,2,1
1108,low-risk,21694.0,721.0,home improvement,51315.58,3,0.4,4,0
1109,low-risk,22053.0,704.0,debt consolidation,49213.16,3,0.35,3,1
1110,low-risk,17361.0,671.0,car,54295.96,10,0.4,5,0
1111,high-risk,7854.0,518.0,business,50584.66,10,0.45,5,2
1112,high-risk,14265.0,556.0,car,54610.43,5,0.5,3,2
1113,low-risk,20846.0,761.0,business,57902.27,3,0.4,3,1
1114,high-risk,15431.0,573.0,home improvement,57166.59,5,0.5,3,1
1115,high-risk,13747.0,626.0,car,62772.12,3,0.5,3,2
1116,low-risk,25289.0,716.0,debt consolidation,56979.34,3,0.3,4,0
1117,low-risk,18477.0,690.0,home improvement,54182.39,8,0.3,3,1
1118,high-risk,9312.0,679.0,car,62769.96,3,0.5,3,2
1119,low-risk,22478.0,712.0,car,55519.79,10,0.4,2,1
1120,low-risk,25050.0,672.0,debt consolidation,53445.98,3,0.35,3,1
1121,low-risk,21178.0,696.0,debt consolidation,52853.77,2,0.35,3,0
1122,high-risk,10783.0,624.0,car,62650.69,8,0.45,3,2
1123,high-risk,10391.0,512.0,debt consolidation,53666.94,5,0.5,5,1
1124,high-risk,15169.0,536.0,medical expenses,54495.76,3,0.5,5,1
1125,low-risk,21929.0,730.0,medical expenses,57945.1,3,0.4,3,1
1126,high-risk,9994.0,568.0,debt consolidation,52767.9,5,0.45,3,1
1127,high-risk,13665.0,584.0,car,55150.11,8,0.5,3,2
1128,low-risk,16987.0,711.0,debt consolidation,52234.92,5,0.4,4,0
1129,high-risk,12365.0,607.0,debt consolidation,54935.95,3,0.45,3,1
1130,low-risk,18901.0,641.0,business,55162.55,5,0.4,2,0
1131,low-risk,20530.0,703.0,medical expenses,53590.9,5,0.35,2,1
1132,low-risk,20067.0,694.0,home improvement,59503.71,3,0.3,3,0
1133,low-risk,17040.0,729.0,home improvement,59258.22,8,0.35,5,0
1134,low-risk,21881.0,712.0,home improvement,64915.45,10,0.35,5,1
1135,low-risk,19854.0,715.0,debt consolidation,46340.06,8,0.4,5,1
1136,low-risk,17034.0,686.0,home improvement,51437.66,10,0.3,2,1
1137,high-risk,17518.0,594.0,business,55696.6,3,0.5,3,2
1138,low-risk,21429.0,728.0,debt consolidation,56448.2,3,0.3,4,0
1139,low-risk,19540.0,698.0,car,61973.75,10,0.35,5,0
1140,low-risk,24246.0,705.0,car,46263.18,3,0.35,3,1
1141,high-risk,13700.0,553.0,debt consolidation,60286.7,3,0.5,3,2
1142,low-risk,19564.0,698.0,medical expenses,51641.33,10,0.3,4,1
1143,low-risk,21042.0,640.0,medical expenses,49801.7,5,0.3,3,0
1144,high-risk,15014.0,637.0,car,56055.42,8,0.45,3,1
1145,low-risk,19558.0,702.0,home improvement,54608.03,8,0.35,3,0
1146,low-risk,19403.0,723.0,business,68565.15,2,0.35,4,0
1147,low-risk,20554.0,670.0,debt consolidation,58584.39,3,0.3,3,0
1148,high-risk,12968.0,619.0,business,58949.58,5,0.45,2,1
1149,low-risk,21679.0,744.0,business,53696.65,5,0.4,3,0
1150,high-risk,13352.0,569.0,business,54056.47,3,0.45,3,2
1151,low-risk,16368.0,654.0,debt consolidation,48197.94,8,0.3,3,1
1152,high-risk,12960.0,661.0,home improvement,57203.85,2,0.45,3,1
1153,high-risk,16510.0,597.0,debt consolidation,47892.67,2,0.45,5,1
1154,high-risk,14710.0,669.0,car,49603.42,2,0.5,3,2
1155,low-risk,23152.0,728.0,home improvement,55699.43,10,0.35,5,0
1156,high-risk,15784.0,721.0,car,52214.91,10,0.5,5,1
1157,low-risk,18928.0,670.0,business,51070.93,3,0.3,2,1
1158,low-risk,22859.0,678.0,home improvement,52362.07,2,0.35,5,1
1159,low-risk,19100.0,687.0,business,57789.51,5,0.4,3,1
1160,high-risk,14439.0,609.0,car,58189.29,10,0.45,3,2
1161,high-risk,10786.0,597.0,debt consolidation,49110.21,10,0.45,4,1
1162,high-risk,13959.0,574.0,home improvement,57640.43,3,0.45,5,1
1163,low-risk,19315.0,688.0,business,59371.97,10,0.3,2,1
1164,low-risk,22001.0,748.0,medical expenses,65509.22,3,0.3,3,1
1165,high-risk,17300.0,654.0,business,57621.11,5,0.45,3,1
1166,low-risk,18910.0,730.0,car,44597.96,3,0.3,3,0
1167,low-risk,20890.0,673.0,car,58421.34,2,0.4,2,1
1168,low-risk,21601.0,684.0,debt consolidation,60547.25,10,0.4,2,1
1169,low-risk,24479.0,669.0,home improvement,60643.49,8,0.35,4,1
1170,low-risk,18827.0,724.0,medical expenses,62038.0,3,0.35,4,0
1171,low-risk,24438.0,737.0,car,61902.03,5,0.4,3,0
1172,low-risk,18023.0,682.0,home improvement,55108.18,2,0.3,5,0
1173,low-risk,23986.0,689.0,medical expenses,55957.38,3,0.3,2,1
1174,high-risk,19106.0,625.0,debt consolidation,51458.89,2,0.45,5,2
1175,low-risk,17260.0,654.0,home improvement,49646.94,5,0.3,4,0
1176,low-risk,20921.0,680.0,business,50569.38,2,0.35,5,0
1177,low-risk,19846.0,723.0,medical expenses,59659.66,5,0.3,3,1
1178,low-risk,21877.0,674.0,business,50749.17,10,0.3,2,1
1179,high-risk,17488.0,620.0,business,56163.05,2,0.5,2,1
1180,high-risk,16562.0,553.0,medical expenses,57645.02,8,0.45,3,2
1181,low-risk,24107.0,696.0,business,58078.15,8,0.35,3,0
1182,low-risk,19704.0,683.0,medical expenses,62161.18,8,0.3,3,1
1183,high-risk,12827.0,510.0,business,57373.17,3,0.45,3,2
1184,high-risk,15868.0,567.0,debt consolidation,55927.43,10,0.5,3,1
1185,low-risk,25000.0,725.0,debt consolidation,63105.52,10,0.4,3,0
1186,low-risk,17965.0,671.0,home improvement,50633.25,5,0.4,2,1
1187,low-risk,18158.0,694.0,business,55221.22,5,0.35,5,0
1188,high-risk,17956.0,572.0,debt consolidation,53966.38,3,0.5,2,2
1189,low-risk,18665.0,646.0,debt consolidation,57367.93,2,0.4,5,0
1190,high-risk,18949.0,640.0,debt consolidation,57217.34,3,0.45,2,1
1191,low-risk,22676.0,739.0,car,48347.65,8,0.3,3,1
1192,low-risk,19536.0,668.0,business,47931.21,10,0.4,5,1
1193,low-risk,14560.0,738.0,home improvement,50359.95,5,0.3,3,1
1194,low-risk,19942.0,660.0,debt consolidation,55142.81,5,0.3,2,0
1195,low-risk,20305.0,720.0,medical expenses,48992.83,10,0.4,4,1
1196,low-risk,23502.0,691.0,car,47192.24,8,0.4,3,0
1197,low-risk,24765.0,695.0,business,50542.4,8,0.4,3,0
1198,high-risk,15843.0,604.0,home improvement,53052.37,8,0.5,4,2
1199,low-risk,22404.0,662.0,debt consolidation,50900.85,10,0.4,2,0
1200,low-risk,22296.0,718.0,medical expenses,57526.77,3,0.3,4,0
1201,high-risk,13618.0,608.0,car,57746.62,8,0.45,3,2
1202,high-risk,13985.0,604.0,medical expenses,62704.57,3,0.5,4,1
1203,high-risk,13272.0,534.0,medical expenses,57218.67,2,0.45,2,1
1204,high-risk,20752.0,549.0,car,50482.91,5,0.45,4,2
1205,low-risk,16533.0,724.0,medical expenses,56321.23,3,0.35,3,0
1206,low-risk,19392.0,694.0,debt consolidation,55002.84,2,0.35,5,0
1207,high-ris,18976.0,619.0,car,59009.51,10,0.45,5,2
1208,low-risk,20915.0,729.0,business,57857.91,2,0.4,3,1
1209,low-risk,23444.0,692.0,car,56831.82,2,0.3,2,1
1210,high-risk,10483.0,581.0,home improvement,61442.96,5,0.5,4,1
1211,low-risk,16105.0,722.0,debt consolidation,62125.2,2,0.3,3,1
1212,low-risk,12437.0,711.0,business,51117.22,2,0.4,3,1
1213,low-risk,20446.0,691.0,debt consolidation,49560.35,5,0.3,4,1
1214,low-risk,19358.0,689.0,debt consolidation,47746.98,10,0.35,2,1
1215,low-risk,17069.0,673.0,car,58008.37,8,0.35,4,1
1216,low-risk,14898.0,722.0,business,49774.58,3,0.3,2,0
1217,high-risk,11498.0,602.0,car,52791.0,3,0.45,3,1
1218,low-risk,19417.0,677.0,home improvement,58497.66,2,0.4,4,0
1219,low-risk,21998.0,661.0,home improvement,61689.28,8,0.4,3,1
1220,high-risk,12367.0,596.0,home improvement,52887.93,8,0.45,3,2
1221,high-risk,15512.0,561.0,car,63539.97,2,0.5,4,2
1222,high-risk,14431.0,606.0,car,53759.31,3,0.45,3,2
1223,high-risk,16519.0,608.0,home improvement,63519.89,3,0.45,5,2
1224,low-risk,20142.0,693.0,car,49636.38,8,0.3,2,1
1225,low-risk,22084.0,694.0,medical expenses,55471.19,8,0.35,5,0
1226,low-risk,18690.0,693.0,medical expenses,53547.31,2,0.4,2,0
1227,low-risk,23215.0,689.0,medical expenses,59073.86,3,0.3,2,1
1228,low-risk,20886.0,656.0,debt consolidation,52626.74,3,0.4,2,1
1229,low-risk,17962.0,674.0,business,58665.72,2,0.3,5,0
1230,high-ris,21575.0,528.0,business,57804.53,2,0.45,3,2
1231,low-risk,19281.0,731.0,business,62942.65,10,0.35,3,0
1232,low-risk,21468.0,717.0,home improvement,48876.5,8,0.35,3,0
1233,low-risk,16461.0,715.0,medical expenses,57702.99,8,0.35,3,1
1234,low-risk,19912.0,727.0,medical expenses,63183.74,8,0.35,5,1
1235,low-risk,21186.0,666.0,car,58556.76,5,0.3,2,1
1236,high-risk,18183.0,625.0,debt consolidation,61584.61,5,0.5,3,1
1237,low-risk,24041.0,666.0,debt consolidation,49722.83,2,0.4,3,0
1238,low-risk,22322.0,667.0,medical expenses,47631.66,10,0.4,5,0
1239,low-risk,19978.0,711.0,car,58760.51,5,0.3,4,0
1240,high-risk,18806.0,619.0,medical expenses,58829.04,8,0.45,4,1
1241,low-risk,20887.0,694.0,home improvement,48937.68,10,0.35,3,1
1242,low-risk,21210.0,749.0,home improvement,53905.62,3,0.3,3,1
1243,low-risk,14523.0,706.0,business,53413.9,2,0.35,3,1
1244,low-risk,19095.0,677.0,business,55031.11,5,0.3,4,1
1245,high-risk,14322.0,638.0,medical expenses,53665.0,10,0.45,3,2
1246,high-risk,16303.0,544.0,business,55278.83,5,0.5,3,1
1247,low-risk,19817.0,704.0,medical expenses,62472.84,5,0.35,3,1
1248,high-risk,20168.0,564.0,debt consolidation,58983.58,2,0.45,3,1
1249,high-risk,16737.0,562.0,home improvement,52472.25,5,0.5,4,1
1250,high-risk,12443.0,657.0,car,64795.8,2,0.5,3,1
1251,high-risk,14558.0,636.0,car,54209.91,2,0.5,2,2
1252,low-risk,19787.0,658.0,debt consolidation,55509.84,3,0.35,3,1
1253,low-risk,18994.0,698.0,medical expenses,55041.69,8,0.3,2,0
1254,low-risk,14766.0,733.0,home improvement,53739.29,3,0.3,2,0
1255,high-risk,21151.0,520.0,medical expenses,54514.94,5,0.5,4,2
1256,low-risk,19449.0,707.0,medical expenses,46453.66,3,0.3,3,0
1257,high-risk,16154.0,-11083.0,debt consolidation,52387.98,10,0.5,5,1
1258,high-risk,22064.0,553.0,debt consolidation,67169.3,3,0.5,3,1
1259,low-risk,23455.0,729.0,business,56539.02,3,0.3,4,0
1260,high-risk,15435.0,554.0,debt consolidation,54238.69,3,0.45,3,1
1261,low-risk,20113.0,719.0,business,60053.6,2,0.3,2,0
1262,low-risk,21202.0,709.0,car,52764.82,8,0.35,3,1
1263,high-risk,12659.0,587.0,business,58290.9,3,0.45,3,1
1264,low-risk,21369.0,653.0,business,62371.63,3,0.35,5,0
1265,high-risk,15442.0,615.0,car,56270.18,8,0.5,2,2
1266,high-risk,12194.0,623.0,home improvement,46459.89,3,0.45,5,1
1267,low-risk,21720.0,682.0,medical expenses,52799.74,8,0.4,3,0
1268,low-risk,24475.0,728.0,medical expenses,57614.64,3,0.4,3,1
1269,low-risk,22174.0,737.0,debt consolidation,57629.43,3,0.3,3,1
1270,low-risk,22769.0,706.0,debt consolidation,58701.0,10,0.3,5,0
1271,high-risk,16106.0,537.0,home improvement,47317.57,10,0.5,2,2
1272,low-risk,15207.0,748.0,debt consolidation,57076.39,10,0.4,3,1
1273,low-risk,24470.0,682.0,medical expenses,53671.16,2,0.3,4,0
1274,low-risk,26164.0,666.0,business,54053.03,5,0.3,4,0
1275,low-risk,24628.0,721.0,business,51581.41,10,0.3,2,0
1276,high-risk,18684.0,583.0,debt consolidation,59594.78,5,0.5,2,1
1277,low-risk,16536.0,684.0,medical expenses,56914.79,8,0.3,5,0
1278,high-risk,13715.0,552.0,car,58183.75,5,0.45,2,1
1279,low-risk,14949.0,713.0,car,60107.89,8,0.4,5,1
1280,high-risk,13706.0,601.0,business,50751.0,5,0.45,2,2
1281,low-risk,24817.0,714.0,medical expenses,59777.06,8,0.35,4,0
1282,low-risk,19575.0,685.0,business,59972.31,10,0.4,3,0
1283,high-risk,14685.0,567.0,medical expenses,53871.62,10,0.45,2,1
1284,low-risk,24127.0,701.0,car,59983.08,10,0.35,2,1
1285,high-risk,18313.0,558.0,debt consolidation,54329.11,8,0.45,2,1
1286,low-risk,26107.0,693.0,home improvement,46634.32,2,0.35,4,0
1287,low-risk,25976.0,697.0,debt consolidation,56738.22,5,0.3,3,1
1288,low-risk,19607.0,657.0,medical expenses,50588.38,8,0.35,2,1
1289,high-risk,7727.0,528.0,business,54853.39,10,0.45,4,1
1290,low-risk,22092.0,702.0,business,62394.35,5,0.3,3,0
1291,low-risk,18957.0,659.0,car,54438.07,10,0.35,4,0
1292,low-risk,16530.0,681.0,car,62534.13,2,0.4,2,0
1293,low-risk,23844.0,772.0,debt consolidation,52733.77,3,0.35,3,1
1294,low-risk,23649.0,666.0,debt consolidation,57373.12,10,0.35,4,0
1295,high-risk,15512.0,647.0,home improvement,56538.55,3,0.5,5,2
1296,high-risk,19081.0,755.0,medical expenses,54245.07,2,0.45,2,2
1297,high-risk,12342.0,624.0,debt consolidation,54222.63,3,0.45,3,2
1298,high-risk,16512.0,544.0,debt consolidation,49970.43,10,0.5,4,1
1299,low-risk,18500.0,693.0,car,57656.54,2,0.35,3,1
1300,high-risk,17453.0,609.0,medical expenses,60363.61,5,0.5,4,2
1301,low-risk,23066.0,732.0,car,43270.89,3,0.4,3,1
1302,low-ris,22200.0,702.0,home improvement,59286.54,3,0.3,3,1
1303,low-risk,24134.0,670.0,debt consolidation,49560.14,8,0.3,2,1
1304,low-risk,17028.0,725.0,debt consolidation,60086.83,10,0.35,3,1
1305,high-risk,15727.0,733.0,debt consolidation,49948.12,10,0.45,2,2
1306,low-risk,22277.0,653.0,business,55907.87,3,0.3,3,1
1307,low-risk,21344.0,700.0,medical expenses,46124.71,3,0.4,2,0
1308,low-risk,24597.0,757.0,car,51284.71,3,0.35,4,0
1309,high-risk,11267.0,642.0,car,61096.56,10,0.45,2,2
1310,low-risk,25544.0,660.0,car,57930.94,8,0.3,3,1
1311,low-risk,21620.0,723.0,home improvement,57666.05,3,0.4,3,0
1312,low-risk,23187.0,681.0,business,54873.64,10,0.4,4,1
1313,high-risk,15495.0,585.0,home improvement,55916.77,10,0.5,2,1
1314,low-risk,20043.0,675.0,medical expenses,62495.33,8,0.35,2,1
1315,low-risk,22733.0,704.0,car,54358.72,8,0.3,2,1
1316,low-risk,24839.0,752.0,car,55078.68,8,0.35,5,1
1317,low-risk,22188.0,664.0,car,60535.53,5,0.4,5,1
1318,low-risk,19750.0,731.0,debt consolidation,54823.91,5,0.35,3,0
1319,low-risk,24132.0,720.0,debt consolidation,52993.14,3,0.35,3,0
1320,high-risk,19706.0,483.0,car,53712.22,10,0.45,3,1
1321,low-risk,15733.0,717.0,car,54122.69,8,0.3,2,1
1322,low-risk,22045.0,702.0,debt consolidation,49567.04,5,0.3,3,0
1323,high-risk,14546.0,610.0,home improvement,46918.82,3,0.45,3,1
1324,low-risk,21817.0,710.0,business,54831.69,10,0.35,5,0
1325,low-risk,20193.0,689.0,home improvement,56811.31,8,0.4,3,1
1326,low-risk,21713.0,702.0,business,59244.54,5,0.35,2,1
1327,low-risk,17557.0,707.0,debt consolidation,49810.8,5,0.4,3,0
1328,high-risk,13126.0,634.0,car,62423.58,10,0.45,5,2
1329,low-risk,22983.0,654.0,car,45884.69,5,0.4,3,0
1330,high-risk,10400.0,654.0,car,58812.12,10,0.5,3,1
1331,low-risk,26041.0,665.0,home improvement,55170.08,8,0.35,3,0
1332,low-risk,20732.0,-5666.0,car,54195.24,10,0.35,2,0
1333,low-risk,20822.0,702.0,business,49684.86,8,0.35,3,0
1334,low-risk,15430.0,662.0,car,54128.8,2,0.4,3,1
1335,low-risk,18406.0,716.0,debt consolidation,53512.24,5,0.4,3,1
1336,high-risk,13542.0,623.0,car,60252.13,2,0.45,4,2
1337,low-risk,23151.0,732.0,home improvement,51543.72,10,0.3,5,0
1338,high-risk,15337.0,596.0,home improvement,51984.6,8,0.5,3,2
1339,low-risk,22389.0,655.0,debt consolidation,57084.06,5,0.35,5,0
1340,high-risk,18261.0,572.0,medical expenses,53306.51,3,0.5,2,1
1341,high-risk,12207.0,574.0,home improvement,50019.58,5,0.5,3,1
1342,high-risk,11409.0,551.0,medical expenses,45748.34,3,0.5,2,2
1343,high-risk,23120.0,655.0,debt consolidation,63659.47,5,0.45,2,1
1344,high-risk,18188.0,651.0,car,56042.5,8,0.45,3,1
1345,low-risk,14886.0,750.0,medical expenses,62771.71,10,0.3,5,1
1346,low-risk,19256.0,700.0,debt consolidation,56154.91,8,0.35,3,1
1347,low-risk,18560.0,715.0,medical expenses,59772.78,5,0.35,3,0
1348,high-risk,10554.0,640.0,medical expenses,63643.55,3,0.5,2,1
1349,low-risk,21251.0,690.0,car,59999.98,8,0.35,2,0
1350,high-risk,15214.0,606.0,home improvement,63030.09,8,0.45,5,2
1351,low-risk,20697.0,748.0,medical expenses,62377.36,3,0.35,3,1
1352,low-risk,22986.0,699.0,business,50647.53,2,0.4,4,0
1353,low-risk,21727.0,728.0,car,54465.42,5,0.4,5,0
1354,low-risk,19115.0,640.0,business,61450.64,8,0.35,4,1
1355,low-risk,18611.0,734.0,car,51848.2,8,0.3,3,0
1356,low-risk,20938.0,654.0,car,55077.1,5,0.4,2,0
1357,low-risk,21721.0,730.0,home improvement,54813.15,3,0.3,3,1
1358,low-risk,24194.0,712.0,business,54770.41,5,0.4,3,1
1359,low-risk,23574.0,697.0,medical expenses,56724.02,10,0.4,5,0
1360,low-risk,18376.0,697.0,car,54904.57,10,0.4,2,0
1361,high-risk,15946.0,649.0,business,52005.87,8,0.45,2,2
1362,low-risk,22013.0,675.0,business,57203.56,10,0.35,2,0
1363,low-risk,23204.0,694.0,home improvement,54433.22,5,0.3,3,1
1364,low-risk,22817.0,766.0,business,61230.13,8,0.35,3,1
1365,low-risk,19808.0,739.0,medical expenses,54303.94,10,0.3,2,0
1366,low-risk,16238.0,674.0,business,58041.09,3,0.4,3,1
1367,low-risk,17003.0,708.0,home improvement,53895.93,10,0.35,5,1
1368,low-risk,20818.0,703.0,car,45512.94,3,0.4,3,1
1369,low-risk,21027.0,696.0,business,57988.95,10,0.3,5,1
1370,low-risk,16704.0,670.0,business,63726.67,3,0.35,4,1
1371,high-risk,15446.0,588.0,debt consolidation,55774.31,5,0.5,3,1
1372,high-risk,11535.0,628.0,medical expenses,58149.45,5,0.5,3,1
1373,low-risk,16546.0,675.0,medical expenses,55859.6,2,0.35,5,0
1374,low-risk,23315.0,759.0,medical expenses,54985.17,5,0.3,4,0
1375,low-risk,18867.0,746.0,business,62527.93,10,0.35,2,1
1376,low-risk,23773.0,716.0,medical expenses,58805.47,8,0.4,4,1
1377,high-risk,18612.0,637.0,medical expenses,53770.56,3,0.45,2,1
1378,low-risk,16920.0,712.0,debt consolidation,50790.93,5,0.35,5,1
1379,low-risk,18626.0,708.0,home improvement,64341.03,8,0.4,3,1
1380,low-risk,19715.0,715.0,home improvement,55958.4,3,0.4,4,1
1381,high-risk,10377.0,584.0,car,59578.64,3,0.5,5,2
1382,low-risk,19352.0,695.0,debt consolidation,49476.78,3,0.4,5,0
1383,low-risk,21002.0,761.0,business,43945.58,5,0.4,5,1
1384,low-risk,19486.0,712.0,car,50412.21,3,0.3,2,0
1385,low-risk,19802.0,691.0,medical expenses,58163.64,2,0.4,3,1
1386,low-risk,14872.0,772.0,car,52068.06,5,0.4,4,1
1387,low-risk,21175.0,725.0,home improvement,49334.18,8,0.35,2,0
1388,low-risk,19732.0,686.0,car,55093.81,2,0.3,3,1
1389,low-risk,24831.0,703.0,car,54738.92,2,0.4,3,0
1390,low-risk,17181.0,719.0,debt consolidation,59759.17,5,0.35,2,0
1391,low-risk,14575.0,695.0,medical expenses,54374.33,3,0.3,4,0
1392,low-risk,21854.0,704.0,business,61722.39,2,0.3,2,1
1393,low-risk,21040.0,675.0,business,59828.21,10,0.4,3,1
1394,high-risk,12092.0,554.0,debt consolidation,50765.83,8,0.5,4,2
1395,low-risk,15411.0,703.0,debt consolidation,63865.12,10,0.35,5,1
1396,low-risk,24612.0,704.0,business,62602.42,5,0.3,5,0
1397,low-risk,24242.0,716.0,car,54524.14,2,0.4,3,1
1398,low-risk,12538.0,683.0,medical expenses,60446.14,3,0.4,3,0
1399,high-risk,17172.0,606.0,business,64776.08,3,0.5,5,2
1400,low-risk,24993.0,671.0,car,58714.15,2,0.3,2,0
1401,high-risk,16624.0,541.0,car,55349.64,2,0.45,3,1
1402,low-risk,18528.0,680.0,home improvement,55236.44,3,0.3,3,1
1403,low-risk,19152.0,687.0,debt consolidation,49610.82,8,0.3,4,1
1404,high-risk,15524.0,670.0,business,60456.53,5,0.45,2,1
1405,high-risk,13943.0,531.0,business,58406.62,8,0.45,2,1
1406,high-risk,15189.0,717.0,medical expenses,53081.84,3,0.45,2,1
1407,high-risk,13874.0,615.0,business,48857.18,5,0.5,4,2
1408,low-risk,20742.0,742.0,car,47999.48,5,0.35,3,1
1409,high-risk,18230.0,573.0,car,51620.69,3,0.45,4,1
1410,low-risk,15646.0,737.0,medical expenses,55281.76,3,0.35,5,1
1411,high-risk,16041.0,590.0,car,58627.44,2,0.45,3,2
1412,low-risk,23640.0,630.0,car,61150.11,2,0.4,5,0
1413,high-risk,16270.0,642.0,business,58868.1,2,0.45,5,1
1414,low-risk,18148.0,682.0,debt consolidation,61238.82,3,0.35,3,0
1415,low-risk,23607.0,734.0,business,55820.59,8,0.35,3,0
1416,low-risk,23620.0,678.0,home improvement,54824.06,5,0.3,3,0
1417,high-risk,8132.0,552.0,medical expenses,55789.25,8,0.45,3,1
1418,low-risk,17300.0,657.0,car,48120.69,10,0.35,2,1
1419,low-risk,18760.0,691.0,business,60401.24,8,0.35,5,0
1420,low-risk,20859.0,727.0,business,51973.21,10,0.3,3,0
1421,low-risk,19434.0,708.0,car,52602.95,10,0.3,3,0
1422,high-risk,16652.0,594.0,medical expenses,53547.58,5,0.45,3,1
1423,low-risk,15411.0,765.0,business,63810.49,5,0.35,3,1
1424,high-risk,12822.0,639.0,debt consolidation,50847.24,10,0.5,3,2
1425,low-risk,20543.0,723.0,car,55398.17,3,0.3,2,0
1426,low-risk,18525.0,739.0,medical expenses,54766.16,10,0.3,5,1
1427,high-risk,11719.0,559.0,home improvement,53267.59,2,0.5,3,1
1428,low-risk,14696.0,673.0,car,58473.91,5,0.35,3,1
1429,low-risk,20059.0,725.0,home improvement,48041.45,8,0.3,3,1
1430,low-risk,19842.0,676.0,car,61474.18,5,0.3,4,1
1431,high-risk,13383.0,598.0,business,55229.67,3,0.5,2,2
1432,low-risk,20207.0,698.0,medical expenses,55675.61,2,0.4,5,1
1433,high-risk,18085.0,616.0,debt consolidation,61159.72,3,0.5,4,1
1434,high-risk,15460.0,587.0,home improvement,60521.81,8,0.5,3,1
1435,low-risk,16063.0,727.0,home improvement,52305.19,5,0.35,3,0
